@type,@lat,@lon,access,amenity,check_date,fee,fountain,operator
node,35.0531525,-85.2963944,,drinking_water,,,,
node,35.0535498,-85.2881470,,drinking_water,,,,
node,35.0535805,-85.0472335,,drinking_water,,,,
node,34.8271281,-85.4790704,,drinking_water,2021-11-02,,,
node,35.0626347,-85.0694234,,drinking_water,,,,
node,34.8392517,-85.4902283,,drinking_water,,,,
node,35.0597989,-85.0705507,,drinking_water,,,,
node,35.0467571,-85.0485408,,drinking_water,,,,
node,35.0623012,-85.0657471,,drinking_water,,,,
node,35.0585749,-85.0709828,,drinking_water,,,,
node,35.0581652,-85.0709883,,drinking_water,,,,
node,35.0538615,-85.0504698,,drinking_water,,,,
node,35.0460952,-85.0466770,,drinking_water,,,,
node,35.0416589,-85.0412205,,drinking_water,,,,
node,35.0429092,-85.0544924,,drinking_water,,,,
node,35.0612614,-85.3066215,yes,drinking_water,,no,drinking,City of Chattanooga
node,35.0198611,-85.3236340,yes,drinking_water,,no,drinking,City of Chattanooga
